File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\config\RequestConfig.java,539,286,185,39,53,0,200,969,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\entity\DecompressingEntity.java,115,56,39,8,13,0,46,250,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\entity\DeflateDecompressingEntity.java,61,7,5,0,5,0,49,304,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\entity\DeflateInputStream.java,161,80,53,9,24,0,57,241,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\entity\DeflateInputStreamFactory.java,64,16,11,2,9,0,39,200,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\entity\EntityBuilder.java,359,153,122,28,33,0,173,701,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\entity\GzipCompressingEntity.java,114,40,28,3,13,0,61,367,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\entity\GzipDecompressingEntity.java,51,7,5,0,5,0,39,211,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\entity\GZIPInputStreamFactory.java,65,17,12,2,9,0,39,199,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\entity\InputStreamFactory.java,42,6,5,0,5,0,31,179,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\entity\LazyDecompressingInputStream.java,102,58,36,8,15,0,29,174,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\entity\package-info.java,32,1,1,0,2,0,29,175,29,175
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\entity\UrlEncodedFormEntity.java,106,33,18,0,9,0,64,351,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\AbortableHttpRequest.java,83,10,8,0,11,0,62,338,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\AbstractExecutionAwareRequest.java,139,83,54,9,19,0,37,193,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\CloseableHttpResponse.java,41,5,4,0,5,0,31,186,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\Configurable.java,45,5,4,0,6,0,34,186,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\HttpDelete.java,75,20,14,1,11,0,44,258,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\HttpEntityEnclosingRequestBase.java,78,35,22,4,11,0,32,187,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\HttpExecutionAware.java,49,6,5,0,8,0,35,205,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\HttpGet.java,75,20,14,1,10,0,45,274,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\HttpHead.java,78,20,14,1,10,0,48,297,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\HttpOptions.java,99,40,31,4,13,0,46,267,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\HttpPatch.java,75,20,14,1,10,0,45,299,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\HttpPost.java,82,20,14,1,10,0,52,311,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\HttpPut.java,74,20,14,1,10,0,44,254,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\HttpRequestBase.java,128,60,39,7,19,1,49,257,26,167
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient\src\main\java\org\apache\http\client\methods\HttpRequestWrapper.java,213,130,89,20,30,0,53,272,26,167
