Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\test\java\org\apache\http\impl\client\cache\ehcache,2,337,210,172,5,67,1,60,367,52,334
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-cache\src\test\java\org\apache\http\impl\client\cache\memcached,5,884,600,457,10,140,0,144,922,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi,21,1963,971,719,98,317,6,675,4019,552,3517
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src,21,1963,971,719,98,317,6,675,4019,552,3517
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\main,16,1473,698,495,95,245,4,530,3104,422,2682
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\main\java,16,1473,698,495,95,245,4,530,3104,422,2682
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\main\java\org,16,1473,698,495,95,245,4,530,3104,422,2682
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\main\java\org\apache,16,1473,698,495,95,245,4,530,3104,422,2682
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\main\java\org\apache\http,16,1473,698,495,95,245,4,530,3104,422,2682
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\main\java\org\apache\http\osgi,16,1473,698,495,95,245,4,530,3104,422,2682
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\main\java\org\apache\http\osgi\impl,11,1287,677,477,95,222,4,388,2249,286,1837
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\main\java\org\apache\http\osgi\services,4,154,20,17,0,21,0,113,683,107,673
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\test,5,490,273,224,3,72,2,145,915,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\test\java,5,490,273,224,3,72,2,145,915,130,835
C:\Users\User\Desktop\Software Metrics\Experiment\httpcomponents-client-4.5.6\httpclient-osgi\src\test\java\org,5,490,273,224,3,72,2,145,915,130,835
