Class Name, Line of Code, Line of Comments, RFC, Cohesion, Coupling, Cyclomatic Complexity, Weighted Methods, Depth of Class, Number of children
ASTInformation.java, 66, 0, 10, 1, 0, [recoverASTNode->1 #getITypeRoot->1 #getStartPosition->1 #getLength->1 #equals->3 #hashCode->2 #], 9, 0, 0
ASTInformationGenerator.java, 17, 0, 2, 1, 1, [setCurrentITypeRoot->1 #generateASTInformation->1 #], 2, 0, 0
ASTReader.java, 619, 1, 131, 4, 12, [buildProject->3 #getNumberOfCompilationUnits->4 #getRecursivelyInnerTypes->8 #parseAST->1 #parseAST->7 #processComments->8 #processTypeDeclaration->12 #processEnumDeclaration->12 #processFieldDeclaration->8 #processMethodDeclaration->30 #getSystemObject->1 #getExaminedProject->1 #getAST->2 #], 97, 0, 0
ClassDeclarationObject.java, 231, 0, 52, 6, 0, [getITypeRoot->1 #getClassObject->1 #getIFile->1 #getSuperclass->1 #addMethod->1 #addField->1 #addComment->1 #addComments->1 #getMethodList->1 #getMethodIterator->1 #getFieldIterator->1 #getCommentIterator->1 #getNumberOfMethods->1 #setName->1 #getName->1 #isGeneratedByParserGenenator->3 #containsMethodWithTestAnnotation->3 #extendsTestCase->4 #getMethod->3 #getMethod->3 #containsMethodInvocation->3 #containsFieldInstruction->3 #containsMethodInvocation->3 #containsSuperMethodInvocation->3 #hasFieldType->3 #getFieldsAccessedInsideMethod->11 #getField->3 #findField->4 #], 64, 0, 2
ClassInstanceCreationObject.java, 70, 0, 18, 3, 0, [getClassInstanceCreation->1 #setClassInstanceCreation->1 #addParameter->1 #getParameterListIterator->1 #getParameterTypeList->1 #getParameterList->2 #addThrownException->1 #getThrownExceptions->1 #toString->3 #], 12, 1, 0
ClassObject.java, 304, 19, 61, 3, 1, [setAbstractTypeDeclaration->1 #getAbstractTypeDeclaration->2 #getClassObject->1 #getITypeRoot->1 #getIFile->1 #setIFile->1 #isFriend->20 #checkFriendship->3 #generateTypeCheckEliminations->7 #setAccess->1 #getAccess->1 #setSuperclass->1 #addInterface->1 #addConstructor->1 #addEnumConstantDeclaration->1 #getConstructorIterator->1 #getInterfaceIterator->1 #getSuperclassIterator->1 #getEnumConstantDeclarationIterator->1 #getSuperclass->1 #setAbstract->1 #isAbstract->1 #setInterface->1 #isInterface->1 #isStatic->1 #setStatic->1 #isEnum->1 #setEnum->1 #getConstructor->3 #getConstructor->3 #toString->10 #], 72, 1, 0
CommentObject.java, 90, 1, 20, 2, 0, [setComment->1 #getComment->1 #getText->1 #getType->1 #getStartLine->1 #getEndLine->1 #getITypeRoot->1 #getStartPosition->1 #getLength->1 #equals->3 #hashCode->2 #toString->1 #], 15, 0, 0
CompilationErrorDetectedException.java, 19, 0, 1, 2, 0, [getMarkers->1 #], 1, 1, 0
CompilationUnitCache.java, 256, 3, 50, 3, 0, [addUsedFieldForMethodExpression->2 #setEmptyUsedFieldsForMethodExpression->1 #addDefinedFieldForMethodExpression->2 #setEmptyDefinedFieldsForMethodExpression->1 #setThrownExceptionTypesForMethodExpression->1 #containsMethodExpression->3 #getUsedFieldsForMethodExpression->1 #getDefinedFieldsForMethodExpression->1 #getThrownExceptionTypesForMethodExpression->1 #getInstance->2 #getCompilationUnit->7 #compilationUnitChanged->2 #compilationUnitAdded->2 #compilationUnitRemoved->2 #getChangedCompilationUnits->1 #getAddedCompilationUnits->1 #getRemovedCompilationUnits->1 #lock->2 #releaseLock->1 #clearAffectedCompilationUnits->1 #getAffectedProjects->4 #clearCache->1 #], 40, 1, 0
ConstructorInvocationObject.java, 25, 1, 3, 1, 0, [setConstructorInvocation->1 #getConstructorInvocation->1 #], 2, 1, 0
ConstructorObject.java, 521, 5, 129, 6, 0, [setMethodDeclaration->1 #getMethodDeclaration->1 #setMethodBody->1 #getMethodBody->1 #addExceptionInJavaDocThrows->1 #getExceptionsInJavaDocThrows->1 #setAccess->1 #getAccess->1 #setName->1 #getName->1 #setClassName->1 #getClassName->1 #addComment->1 #getCommentListIterator->1 #addParameter->1 #getParameterListIterator->1 #getParameter->4 #getMethodInvocations->2 #getSuperMethodInvocations->2 #getConstructorInvocations->2 #getFieldInstructions->2 #getSuperFieldInstructions->2 #getLocalVariableDeclarations->2 #getLocalVariableInstructions->2 #getCreations->2 #getLiterals->2 #getAnonymousClassDeclarations->2 #getExceptionsInThrowStatements->2 #containsMethodInvocation->2 #containsFieldInstruction->2 #containsSuperMethodInvocation->2 #getInvokedMethodsThroughFields->2 #getNonDistinctInvokedMethodsThroughFields->2 #getInvokedMethodsThroughParameters->2 #getNonDistinctInvokedMethodsThroughParameters->2 #getInvokedMethodsThroughLocalVariables->2 #getInvokedMethodsThroughThisReference->2 #getNonDistinctInvokedMethodsThroughThisReference->2 #getInvokedStaticMethods->2 #getDefinedFieldsThroughFields->2 #getUsedFieldsThroughFields->2 #getNonDistinctDefinedFieldsThroughFields->2 #getNonDistinctUsedFieldsThroughFields->2 #getDefinedFieldsThroughParameters->2 #getUsedFieldsThroughParameters->2 #getNonDistinctDefinedFieldsThroughParameters->2 #getNonDistinctUsedFieldsThroughParameters->2 #getDefinedFieldsThroughLocalVariables->2 #getUsedFieldsThroughLocalVariables->2 #getDefinedFieldsThroughThisReference->2 #getNonDistinctDefinedFieldsThroughThisReference->2 #getUsedFieldsThroughThisReference->2 #getNonDistinctUsedFieldsThroughThisReference->2 #getDeclaredLocalVariables->2 #getDefinedLocalVariables->2 #getUsedLocalVariables->2 #getParametersPassedAsArgumentsInMethodInvocations->2 #getParametersPassedAsArgumentsInSuperMethodInvocations->2 #getParametersPassedAsArgumentsInConstructorInvocations->2 #containsSuperMethodInvocation->2 #containsSuperFieldAccess->2 #getParameterTypeList->2 #getParameterList->2 #equals->1 #equals->1 #equalParameterTypes->5 #equals->3 #hashCode->2 #toString->4 #getSignature->3 #isAbstract->1 #], 132, 0, 0
CreationObject.java, 14, 0, 1, 2, 0, [getType->1 #], 1, 0, 2
AbstractExpression.java, 72, 0, 23, 2, 1, [processExpression->1 #getExpression->1 #hashCode->2 #equals->7 #toString->1 #], 12, 1, 0
